12/25/09	haircut
1/1/10	fallout
5:35 PM 1/2/2010	mass effect
5:34 PM 1/3/2010	elder scrolls, morrowind + 2 dl pack 4.99 e
5:33 PM 1/4/2010	steam: torchlight, 3.99 euro, braid 2.24 e
5:34 PM 1/4/2010	zaglavila se kartica
9:47 PM 1/7/2010	haircut, clean sheets
11:14 PM 1/18/2010	km null cabel, 9pin antena shop	5km
11:14 PM 1/18/2010	risen burned
5:05 PM 1/18/2010	+10km za install mac, miki
5:05 PM 1/19/2010	gorivo 60km 32l bmb95, eurobenz, maestro
6:42 PM 1/25/2010	kupanje, posteljina
6:42 PM 1/26/2010	4km jogurt
